"@title","Việt Nam"
"@language","vi-VN"
"@scale","auto"
"@appli","111 - Do not change"
"@version","1.10 - Do not change"
"@author","Tên của bạn"
"#00000","Mở khóa full version"
"#00001","Truy cập chế độ full version"
"#00002","Chuyển sang chế độ full version. Tất cả các function sẽ được mở rộng"
"#00003","Local Stam. Contest"
"#00004","Local Spd. Contest"
"#00005","Local Dex. Contest"
"#00006","Local Serv. Contest"
"#00007","Local Cook Contest"
"#00008","Local Staff Contest"
"#00009","State Stam. Contest"
"#00010","State Spd. Contest"
"#00011","State Dex. Contest"
"#00012","State Serv. Contest"
"#00013","State Cook Contest"
"#00014","State Staff Contest"
"#00015","Reg'l Stam. Contest"
"#00016","Reg'l Spd. Contest"
"#00017","Reg'l Dex. Contest"
"#00018","Reg'l Serv. Contest"
"#00019","Reg'l Cook Contest"
"#00020","Reg'l Staff Contest"
"#00021","Nat'l Stam. Contest"
"#00022","Nat'l Spd. Contest"
"#00023","Nat'l Dex. Contest"
"#00024","Nat'l Serv. Contest"
"#00025","Nat'l Cook Contest"
"#00026","Nat'l Staff Contest"
"#00027","World Stam. Contest"
"#00028","World Spd. Contest"
"#00029","World Dex. Contest"
"#00030","World Serv. Contest"
"#00031","World Cook Contest"
"#00032","Kairo Staff Contest"
"#00033","Local Game Contest"
"#00034","State Game Contest"
"#00035","Reg'l Game Contest"
"#00036","Nat'l Game Contest"
"#00037","Asian Game Contest"
"#00038","World Game Contest"
"#00039","Kairo Game Contest"
"#00040","Local Burger Contest"
"#00041","State Burger Contest"
"#00042","Reg'l Burger Contest"
"#00043","Nat'l Burger Contest"
"#00044","Asian Burger Contest"
"#00045","World Burger Contest"
"#00046","Kairo Burger Contest"
"#00047","Local Apparel Contest"
"#00048","State Apparel Contest"
"#00049","Reg'l Apparel Contest"
"#00050","Nat'l Apparel Contest"
"#00051","Asian Apparel Contest"
"#00052","World Apparel Contest"
"#00053","Kairo Apparel Contest"
"#00054","Local Book Contest"
"#00055","State Book Contest"
"#00056","Reg'l Book Contest"
"#00057","Nat'l Book Contest"
"#00058","Asian Book Contest"
"#00059","World Book Contest"
"#00060","Kairo Book Contest"
"#00061","Local Noodle Contest"
"#00062","State Noodle Contest"
"#00063","Reg'l Noodle Contest"
"#00064","Nat'l Noodle Contest"
"#00065","Asian Noodle Contest"
"#00066","World Noodle Contest"
"#00067","Kairo Noodle Contest"
"#00068","Local Bread Contest"
"#00069","State Bread Contest"
"#00070","Reg'l Bread Contest"
"#00071","Nat'l Bread Contest"
"#00072","Asian Bread Contest"
"#00073","World Bread Contest"
"#00074","Kairo Bread Contest"
"#00075","Local Booth Contest"
"#00076","State Booth Contest"
"#00077","Reg'l Booth Contest"
"#00078","Nat'l Booth Contest"
"#00079","Asian Booth Contest"
"#00080","World Booth Contest"
"#00081","Kairo Booth Contest"
"#00082","Local Museum Contest"
"#00083","State Museum Contest"
"#00084","Reg'l Museum Contest"
"#00085","Nat'l Museum Contest"
"#00086","Asian Museum Contest"
"#00087","World Museum Contest"
"#00088","Kairo Museum Contest"
"#00089","Chế độ full version đã được mở khóa!"
"#00090","Thẻ xem phim"
"#00091","Thức uống thể thao"
"#00092","Soda"
"#00093","Cà phê"
"#00094","Hướng dẫn Trò chơi"
"#00095","Hành động"
"#00096","Nhập vai"
"#00097","Giải đố"
"#00098","Phiêu lưu"
"#00099","Mô phỏng"
"#00100","Bắn súng"
"#00101","Thể thao"
"#00102","Giải đố"
"#00103","Thẻ bài"
"#00104","Tiệc tùng"
"#00105","Trò chơi đã chơi"
"#00106","Trò chơi cao cấp"
"#00107","IES"
"#00108","Exodus"
"#00109","Super IES"
"#00110","Game Kid"
"#00111","PlayStatus"
"#00112","Uranus"
"#00113","Dreamlast"
"#00114","Admiral 64"
"#00115","=#00111"
"#00116","Game-Box"
"#00117","Microx 480"
"#00118","Intendro DM"
"#00119","Mini Status"
"#00120","Jupiter 512"
"#00121","Play Popo X"
"#00122","Microx NEO"
"#00123","Toast"
"#00124","Hamburger"
"#00125","Cheeseburger"
"#00126","Veggie Burger"
"#00127","Tomato Burger"
"#00128","Bagelwich"
"#00129","Double Burger"
"#00130","Triple Burger"
"#00131","Thick Burger"
"#00132","Mini Pizza"
"#00133","Fries (S)"
"#00134","Fries (M)"
"#00135","Fries (L)"
"#00136","Onion Rings"
"#00137","Hot Dog"
"#00138","Cheese Dog"
"#00139","Fried Chicken"
"#00140","Jumbo Chicken"
"#00141","Chicken Bites"
"#00142","Donut"
"#00143","Choco Donut"
"#00144","Sandwich"
"#00145","Pancakes"
"#00146","Side Salad"
"#00147","Hot Biscuits"
"#00148","Apple Pie"
"#00149","Choco Pie"
"#00150","Ice Cream"
"#00151","Soft Serve"
"#00152","Triple Cone"
"#00153","Tomato Juice"
"#00154","Corn Soup"
"#00155","Fizzy Juice"
"#00156","Veggie Juice"
"#00157","Coffee"
"#00158","Blouse"
"#00159","Bespoke Top"
"#00160","Red Cardigan"
"#00161","Casual Jacket"
"#00162","Hooded Parka"
"#00163","Lace Tunic"
"#00164","Camisole"
"#00165","Fur Coat"
"#00166","Dress"
"#00167","Long Dress"
"#00168","Flowery Skirt"
"#00169","Shorts"
"#00170","Culottes"
"#00171","Tight Skirt"
"#00172","Skirt"
"#00173","Bright Dress"
"#00174","Knit Hat"
"#00175","Flowing Gown"
"#00176","Necklace"
"#00177","Pumps"
"#00178","T-Shirt"
"#00179","Collared Top"
"#00180","Jacket"
"#00181","Check Shirt"
"#00182","Cardigan"
"#00183","Vest"
"#00184","Border Shirt"
"#00185","Zip-Up Jacket"
"#00186","L. Jacket"
"#00187","Tank Top"
"#00188","Jeans"
"#00189","Check Shorts"
"#00190","Work Pants"
"#00191","Fancy Slacks"
"#00192","Chinos"
"#00193","Underwear"
"#00194","Watch"
"#00195","Luxury Watch"
"#00196","Luxury Hat"
"#00197","Stole"
"#00198","Sneakers"
"#00199","Fancy Shoes"
"#00200","Newspapers"
"#00201","Boys Comics"
"#00202","Girls Comics"
"#00203","Teen Mags"
"#00204","Fashion Mags"
"#00205","Movie Mags"
"#00206","Weekly Mags"
"#00207","Comics"
"#00208","Photo Book"
"#00209","Culture Mags"
"#00210","New Books"
"#00211","Novels"
"#00212","Travel Mags"
"#00213","Game Mags"
"#00214","Kids Books"
"#00215","Study Aids"
"#00216","Dictionaries"
"#00217","Field Guides"
"#00218","Cookbooks"
"#00219","Sports Books"
"#00220","Hobby Mags"
"#00221","Chess"
"#00222","Trains/Models"
"#00223","Manuals"
"#00224","Fishing Mags"
"#00225","Electronics"
"#00226","Child Rearing"
"#00227","Languages"
"#00228","Health Books"
"#00229","Classics"
"#00230","Snacks"
"#00231","Ramen"
"#00232","Veggie Ramen"
"#00233","Pork Noodles"
"#00234","Champon"
"#00235","Miso Ramen"
"#00236","Dip Noodles"
"#00238","Yakisoba"
"#00239","Chow Mein"
"#00240","Fried Rice"
"#00241","Special Rice"
"#00242","Egg Rolls"
"#00243","Chili Shrimp"
"#00244","Fried Tofu"
"#00245","=#00231"
"#00246","Crab Rangoon"
"#00247","Peking Duck"
"#00248","Potstickers"
"#00249","Chicken Wings"
"#00250","Dumplings"
"#00251","Meat Buns"
"#00252","Soup"
"#00253","Hot/Sour Soup"
"#00254","Egg Drop Soup"
"#00255","Mango Pudding"
"#00256","Almond Jelly"
"#00257","Juice"
"#00258","Sliced Bread"
"#00259","Baguettes"
"#00260","Croissant"
"#00261","Butter Roll"
"#00262","Wiener Roll"
"#00263","Jelly Roll"
"#00264","Glazed Donut"
"#00265","White Bread"
"#00266","Choco Roll"
"#00267","Curry Bun"
"#00268","Choco Bun"
"#00269","Cheesy Bun"
"#00270","Cream Bun"
"#00271","Jam Bun"
"#00272","French Toast"
"#00273","Pizza Bun"
"#00274","Choco Twist"
"#00275","Beef Sandwich"
"#00276","Egg Sandwich"
"#00277","Filet Burger"
"#00278","Jelly Donut"
"#00279","Bagel"
"#00280","Scone"
"#00281","Fried Bread"
"#00282","Calzone"
"#00283","Bacon Wrap"
"#00284","Cinnamon Roll"
"#00285","Danish"
"#00286","Cheese Roll"
"#00287","Sourdough"
"#00288","Rusk"
"#00289","Quiche"
"#00290","Milk Box"
"#00291","Juice Box"
"#00292","Mixed Juice"
"#00293","Fruit Pie"
"#00294","Bear Bun"
"#00295","Cat Bun"
"#00296","Snowman Bun"
"#00297","Hot Dog Bun"
"#00298","=#00238"
"#00299","Beef Yakisoba"
"#00300","Yakisoba (L)"
"#00301","Candy Prize"
"#00302","Toy Prize"
"#00303","Celeb Prize"
"#00304","Game Prize"
"#00305","Music Prize"
"#00306","Used Clothes"
"#00307","Used Mags"
"#00308","Used Toys"
"#00309","Used Electr."
"#00310","Antiques"
"#00311","Curry Rice"
"#00312","Curry Goat"
"#00313","Cutlet Curry"
"#00314","Indian Curry"
"#00315","Curry Soup"
"#00316","Berry Ice"
"#00317","Blue Hawaiian"
"#00318","Melon Ice"
"#00319","Crepe"
"#00320","Berry Crepe"
"#00321","Tuna Crepe"
"#00322","=#00257"
"#00323","Special Juice"
"#00324","Green Tea"
"#00325","Takoyaki"
"#00326","Ham Takoyaki"
"#00327","Big Takoyaki"
"#00328","Tissues"
"#00329","Entry Ticket"
"#00330","BBQ Chicken"
"#00331","Fish Hotpot"
"#00332","Mixed BBQ"
"#00333","=#00137"
"#00334","Foot Long Dog"
"#00335","Jumbo Frank"
"#00336","Ancient Vase"
"#00337","Haniwa Figure"
"#00338","Scroll"
"#00339","Mummy"
"#00340","Ammonite"
"#00341","Pharaoh"
"#00342","Clay Vessel"
"#00343","Rare Vase"
"#00344","Celeb Statue"
"#00345","Knight Statue"
"#00346","Goddess Icon"
"#00347","Pig Statue"
"#00348","Dragon Statue"
"#00349","Kairobot Icon"
"#00350","Landscape"
"#00351","Old Etching"
"#00352","Abstract"
"#00353","Impressionist"
"#00354","Ukiyoe"
"#00355","Portrait"
"#00356","Rare Picture"
"#00357","Rare Painting"
"#00358","Kairobot Pic."
"#00359","Stamina"
"#00360","Brisk"
"#00361","Nimble"
"#00362","Genial"
"#00363","Food"
"#00364","Power"
"#00365","Speed"
"#00366","Deft"
"#00367","Service"
"#00368","Cooking"
"#00369","Endless"
"#00370","Swift"
"#00371","Precise"
"#00372","Smile"
"#00373","Gourmet"
"#00374","Smart Girl"
"#00375","Writer"
"#00376","Advertise in comics."
"#00377","Fancy Girl"
"#00378","Art Master"
"#00379","Cute Girl"
"#00380","Class Prez"
"#00381","Reseacher"
"#00382","Brat"
"#00383","Clever Boy"
"#00384","Make a local TV commercial."
"#00385","PE Student"
"#00386","Contestant"
"#00387","Make a cable TV commercial."
"#00388","Pretty Boy"
"#00389","Hipster"
"#00390","Make national TV commercial."
"#00391","Cat Lover"
"#00392","Co-ed"
"#00393","New Worker"
"#00394","Put up posters at the station."
"#00395","Shopkeeper"
"#00396","Secretary"
"#00397","Athlete"
"#00398","Cool Model"
"#00399","Artist"
"#00400","Freelancer"
"#00401","Manager"
"#00402","Put an ad in a weekly mag."
"#00403","Beautician"
"#00404","Architect"
"#00405","Golfer"
"#00406","Ballplayer"
"#00407","Wrestler"
"#00408","Housewife"
"#00409","Foodie"
"#00410","Put up a web banner."
"#00411","Essayist"
"#00412","Columnist"
"#00413","Cool Mom"
"#00414","Queen"
"#00415","Recorder"
"#00416","Clerk"
"#00417","Banker"
"#00418","Put an ad in the newspaper."
"#00419","Pilot"
"#00420","Dancer"
"#00421","Chef"
"#00422","Teacher"
"#00423","Ninja"
"#00424","Tea Expert"
"#00425","Florist"
